source;target
Harian_Jogja;FebryAlfatih
runturambi_w;zal_4d3k
BigAlphaID;miegorengpagi
detikfinance;Azlinazet
BigAlphaID;rahmasardiing
kompascom;AEPishere
BigAlphaID;riswandaimawan8
BigAlphaID;randiadip
BigAlphaID;liuetenant_fazi
detikcom;Gilang_kadut
runturambi_w;Eyangkuncentea
detikcom;ItsMe2503_
BigAlphaID;rifqiikhsann
BigAlphaID;Serbetwarteg__
BigAlphaID;nelsonnfernando
realAbikaTrader;Barokahaamiin
detikcom;finoarifino
BigAlphaID;hafizhprasetya
jowangshin;gusary
BigAlphaID;OktafaPrimana
kompascom;Winyhe
BigAlphaID;taksefajarnya
BigAlphaID;fkhrznr
detikcom;diditsw
runturambi_w;ndoel_____
BigAlphaID;ardillasftr
BigAlphaID;fachriaprilian1
detikfinance;hadhmeant
Predator___id;WajahPribumi___
kompascom;muhArief11
detikcom;cimolchantik
detikfinance;ZoneVenomWar
BigAlphaID;style1989___
kumparan;Putrakroos
BigAlphaID;innakaromatika
detikcom;Totok_ID
BigAlphaID;yuda_ramadhani
BigAlphaID;sympheoni
BigAlphaID;Alifzulfiandi
BigAlphaID;sorayahf
BigAlphaID;ilhamprats
BigAlphaID;dwisuryani09
cnbcindonesia;KembangKardus
BigAlphaID;ephita
BigAlphaID;lintangprash
CNNIndonesia;ariyantoadi27
JVLEHA;faizzakharia_
BigAlphaID;dijeaynd
kompascom;Syhildaaa
detikcom;trickymindful
BigAlphaID;Abangdhia
detikfinance;nurindahrivai
detikcom;dimasab06377785
BigAlphaID;FikiTriple_F
CNNIndonesia;butuhkerjahalal
AchsanulQosasi;Bung_CengKho
BigAlphaID;erwinnnfsyh
snydez;nys_tysone39
BigAlphaID;reneleoo
detikcom;RendyPrashino
BigAlphaID;helisaal
BigAlphaID;TheUyax
detikcom;tuankurio
My_LoveNebe;crown_abie
BigAlphaID;Hanoiiy
detikfinance;heyjulsky
detikcom;GalihSeptadi
detikfinance;mochsyarifain
BigAlphaID;Permanafazartea
BigAlphaID;bagasgana
runturambi_w;ocin71
SilumanRi;Slash074
CNNIndonesia;phounyx
BigAlphaID;mimikur_
BigAlphaID;Andikaprasettya
BigAlphaID;Bagusbpp
cnbcindonesia;nazimannabih
cnbcindonesia;eknug
detikcom;dheawe_
kompascom;paulfredinan
sasjuniva;letjes_nganan
